nationality,year,number_of_permits
American,2010,766
Australian,2010,317
Austrian,2010,28
Belgian,2010,37
Brazilian,2010,15
British,2010,423
Canadian,2010,144
Chinese,2010,"2,287"
Columbian,2010,5
Danish,2010,41
Dutch,2010,110
Egyptian,2010,27
Finnish,2010,12
French,2010,137
German,2010,140
Hungarian,2010,6
Indian,2010,994
Indonesian,2010,341
Iranian,2010,25
Irish,2010,22
Israeli,2010,21
Italian,2010,37
Japanese,2010,"2,732"
Jordanian,2010,6
Korean,2010,"3,490"
Lebanese,2010,12
Malaysian,2010,592
Mexican,2010,20
New Zealander,2010,60
Nigerian,2010,10
Norwegian,2010,15
Pakistani,2010,62
Portuguese,2010,7
Russian,2010,12
Singaporean,2010,148
Spanish,2010,37
Sri Lankan,2010,26
Sudanese,2010,10
Swedish,2010,17
Swiss,2010,38
Taiwanese,2010,500
Thai ,2010,133
Other Nationalities,2010,463
American,2011,"1,001"
Australian,2011,339
Austrian,2011,18
Belgian,2011,13
Brazilian,2011,34
British,2011,285
Canadian,2011,123
Chinese,2011,"3,604"
Columbian,2011,0
Danish,2011,35
Dutch,2011,76
Egyptian,2011,16
Finnish,2011,18
French,2011,126
German,2011,126
Hungarian,2011,6
Indian,2011,939
Indonesian,2011,360
Iranian,2011,22
Irish,2011,17
Israeli,2011,25
Italian,2011,75
Japanese,2011,"3,204"
Jordanian,2011,10
Korean,2011,"3,839"
Lebanese,2011,8
Malaysian,2011,458
Mexican,2011,27
New Zealander,2011,82
Nigerian,2011,33
Norwegian,2011,30
Pakistani,2011,133
Portuguese,2011,5
Russian,2011,24
Singaporean,2011,393
Spanish,2011,115
Sri Lankan,2011,15
Sudanese,2011,3
Swedish,2011,65
Swiss,2011,30
Taiwanese,2011,575
Thai ,2011,293
Other Nationalities,2011,542
American,2012,946
Australian,2012,380
Austrian,2012,40
Belgian,2012,25
Brazilian,2012,56
British,2012,419
Canadian,2012,182
Chinese,2012,"4,934"
Columbian,2012,5
Danish,2012,52
Dutch,2012,99
Egyptian,2012,33
Finnish,2012,42
French,2012,224
German,2012,216
Hungarian,2012,8
Indian,2012,"1,677"
Indonesian,2012,494
Iranian,2012,63
Irish,2012,26
Israeli,2012,41
Italian,2012,96
Japanese,2012,"3,499"
Jordanian,2012,7
Korean,2012,"4,095"
Lebanese,2012,8
Malaysian,2012,647
Mexican,2012,41
New Zealander,2012,73
Nigerian,2012,25
Norwegian,2012,61
Pakistani,2012,78
Portuguese,2012,10
Russian,2012,39
Singaporean,2012,405
Spanish,2012,183
Sri Lankan,2012,18
Sudanese,2012,14
Swedish,2012,54
Swiss,2012,39
Taiwanese,2012,488
Thai ,2012,155
Other Nationalities,2012,969
